treatment	id	game	period	choice	other_choice	session
Control	49	1	1	d	c	contr_1
Control	49	1	2	d	c	contr_1
Control	49	1	3	d	d	contr_1
Control	49	1	4	c	d	contr_1
Control	49	1	5	c	d	contr_1
Control	49	1	6	c	d	contr_1
Control	49	1	7	d	d	contr_1
Control	49	1	8	c	c	contr_1
Control	49	1	9	c	c	contr_1
Control	49	1	10	c	c	contr_1
Control	49	1	11	c	c	contr_1
Control	49	1	12	c	c	contr_1
Control	49	1	13	c	c	contr_1
Control	49	1	14	c	c	contr_1
Control	49	2	1	c	d	contr_1
Control	49	2	2	c	d	contr_1
Control	49	2	3	c	c	contr_1
Control	49	2	4	c	c	contr_1
Control	49	2	5	c	c	contr_1
Control	49	2	6	c	c	contr_1
Control	49	2	7	c	c	contr_1
Control	49	2	8	c	d	contr_1
Control	49	3	1	c	c	contr_1
Control	49	3	2	c	c	contr_1
Control	49	3	3	c	c	contr_1
Control	49	4	1	c	d	contr_1
Control	49	5	1	c	d	contr_1
Control	49	5	2	c	d	contr_1
Control	49	5	3	c	c	contr_1
Control	49	6	1	c	d	contr_1
Control	49	7	1	c	d	contr_1
Control	49	7	2	c	d	contr_1
Control	49	7	3	d	c	contr_1
Control	49	7	4	c	c	contr_1
Control	49	7	5	c	c	contr_1
Control	49	7	6	c	c	contr_1
Control	49	7	7	c	c	contr_1
Control	49	7	8	c	c	contr_1
Control	49	7	9	c	c	contr_1
Control	49	7	10	c	c	contr_1
Control	49	7	11	c	c	contr_1
Control	49	8	1	d	c	contr_1
Control	49	8	2	c	c	contr_1
Control	49	8	3	c	c	contr_1
Control	49	9	1	c	c	contr_1
Control	49	9	2	c	c	contr_1
Control	49	9	3	c	c	contr_1
Control	49	10	1	c	d	contr_1
Control	49	11	1	c	d	contr_1
Control	49	12	1	c	d	contr_1
Control	49	12	2	d	d	contr_1
Control	49	13	1	c	d	contr_1
Control	49	13	2	d	c	contr_1
Control	49	14	1	c	d	contr_1
Control	49	14	2	d	d	contr_1
Control	49	14	3	d	d	contr_1
Control	49	14	4	d	d	contr_1
Control	49	15	1	c	d	contr_1
Control	49	16	1	c	d	contr_1
Control	49	16	2	d	d	contr_1
Control	49	16	3	d	c	contr_1
Control	49	16	4	c	d	contr_1
Control	49	17	1	d	d	contr_1
Control	49	17	2	d	d	contr_1
Control	49	17	3	d	d	contr_1
Control	49	17	4	d	c	contr_1
Control	49	17	5	c	d	contr_1
Control	49	17	6	d	c	contr_1
Control	49	17	7	c	c	contr_1
Control	49	17	8	c	c	contr_1
Control	49	17	9	c	c	contr_1
Control	49	17	10	c	c	contr_1
Control	49	17	11	c	c	contr_1
Control	49	18	1	c	d	contr_1
Control	49	19	1	c	c	contr_1
Control	49	19	2	c	c	contr_1
Control	49	19	3	c	c	contr_1
Control	49	19	4	c	c	contr_1
Control	49	20	1	c	d	contr_1
Control	49	21	1	c	d	contr_1
Control	49	21	2	d	c	contr_1
Control	49	22	1	c	c	contr_1
Control	49	22	2	c	c	contr_1
Control	49	22	3	c	d	contr_1
