treatment	id	game	period	choice	other_choice	session
Control	49	20	1	c	d	contr_1
Control	49	21	1	c	d	contr_1
Control	49	21	2	d	c	contr_1
Control	49	22	1	c	c	contr_1
Control	49	22	2	c	c	contr_1
Control	49	22	3	c	d	contr_1
Control	49	22	4	d	d	contr_1
Control	49	22	5	d	c	contr_1
Control	49	23	1	c	d	contr_1
Control	49	23	2	d	d	contr_1
Control	49	23	3	d	d	contr_1
Control	49	24	1	c	d	contr_1
Control	49	24	2	d	d	contr_1
Control	49	24	3	d	d	contr_1
Control	49	24	4	d	d	contr_1
Control	49	24	5	d	d	contr_1
Control	49	24	6	d	d	contr_1
Control	49	25	1	c	d	contr_1
Control	49	25	2	d	c	contr_1
Control	49	25	3	d	c	contr_1
Control	49	25	4	d	d	contr_1
Control	49	25	5	d	d	contr_1
Control	49	26	1	c	d	contr_1
Control	49	27	1	c	d	contr_1
Control	49	27	2	d	d	contr_1
Control	49	27	3	d	d	contr_1
Control	49	27	4	d	d	contr_1
Control	49	27	5	d	d	contr_1
Control	49	27	6	d	d	contr_1
Control	50	20	1	c	d	contr_1
Control	50	21	1	c	d	contr_1
Control	50	21	2	d	d	contr_1
Control	50	22	1	c	d	contr_1
Control	50	22	2	d	c	contr_1
Control	50	22	3	d	c	contr_1
Control	50	22	4	d	d	contr_1
Control	50	22	5	d	d	contr_1
Control	50	23	1	c	d	contr_1
Control	50	23	2	d	d	contr_1
Control	50	23	3	d	d	contr_1
Control	50	24	1	c	d	contr_1
Control	50	24	2	d	c	contr_1
Control	50	24	3	d	c	contr_1
Control	50	24	4	d	d	contr_1
Control	50	24	5	d	d	contr_1
Control	50	24	6	d	d	contr_1
Control	50	25	1	d	c	contr_1
Control	50	25	2	c	c	contr_1
Control	50	25	3	c	c	contr_1
Control	50	25	4	c	c	contr_1
Control	50	25	5	c	d	contr_1
Control	50	26	1	d	c	contr_1
Control	50	27	1	d	d	contr_1
Control	50	27	2	d	d	contr_1
Control	50	27	3	d	d	contr_1
Control	50	27	4	d	d	contr_1
Control	50	27	5	d	d	contr_1
Control	50	27	6	d	d	contr_1
Control	51	20	1	c	d	contr_1
Control	51	21	1	c	d	contr_1
Control	51	21	2	d	d	contr_1
Control	51	22	1	d	d	contr_1
Control	51	22	2	d	d	contr_1
Control	51	22	3	d	d	contr_1
Control	51	22	4	d	c	contr_1
Control	51	22	5	c	d	contr_1
Control	51	23	1	c	d	contr_1
Control	51	23	2	d	c	contr_1
Control	51	23	3	c	c	contr_1
Control	51	24	1	c	d	contr_1
Control	51	24	2	d	d	contr_1
Control	51	24	3	d	d	contr_1
Control	51	24	4	d	d	contr_1
Control	51	24	5	d	d	contr_1
Control	51	24	6	d	d	contr_1
Control	51	25	1	d	d	contr_1
Control	51	25	2	d	d	contr_1
Control	51	25	3	d	d	contr_1
Control	51	25	4	d	d	contr_1
Control	51	25	5	c	d	contr_1
Control	51	26	1	c	d	contr_1
Control	51	27	1	d	d	contr_1
Control	51	27	2	c	d	contr_1
Control	51	27	3	d	c	contr_1
Control	51	27	4	c	c	contr_1
Control	51	27	5	c	d	contr_1
Control	51	27	6	d	c	contr_1
Control	52	20	1	c	d	contr_1
Control	52	21	1	c	d	contr_1
Control	52	21	2	c	c	contr_1
Control	52	22	1	c	d	contr_1
Control	52	22	2	c	d	contr_1
Control	52	22	3	c	d	contr_1
Control	52	22	4	c	d	contr_1
Control	52	22	5	d	d	contr_1
Control	52	23	1	c	d	contr_1
Control	52	23	2	d	c	contr_1
Control	52	23	3	c	c	contr_1
Control	52	24	1	c	d	contr_1
Control	52	24	2	c	d	contr_1
Control	52	24	3	d	d	contr_1
Control	52	24	4	d	d	contr_1
Control	52	24	5	d	d	contr_1
Control	52	24	6	d	d	contr_1
Control	52	25	1	c	d	contr_1
Control	52	25	2	c	c	contr_1
Control	52	25	3	c	c	contr_1
Control	52	25	4	c	c	contr_1
Control	52	25	5	d	c	contr_1
Control	52	26	1	c	d	contr_1
Control	52	27	1	c	d	contr_1
Control	52	27	2	d	c	contr_1
Control	52	27	3	d	c	contr_1
Control	52	27	4	c	d	contr_1
Control	52	27	5	d	d	contr_1
Control	52	27	6	d	d	contr_1
Control	53	20	1	c	d	contr_1
Control	53	21	1	d	c	contr_1
Control	53	21	2	c	c	contr_1
Control	53	22	1	d	c	contr_1
Control	53	22	2	c	d	contr_1
Control	53	22	3	c	d	contr_1
Control	53	22	4	d	d	contr_1
Control	53	22	5	d	d	contr_1
Control	53	23	1	d	c	contr_1
Control	53	23	2	c	d	contr_1
Control	53	23	3	c	c	contr_1
Control	53	24	1	d	d	contr_1
Control	53	24	2	d	d	contr_1
Control	53	24	3	d	d	contr_1
Control	53	24	4	d	d	contr_1
Control	53	24	5	d	d	contr_1
Control	53	24	6	d	d	contr_1
Control	53	25	1	d	c	contr_1
Control	53	25	2	c	d	contr_1
Control	53	25	3	c	d	contr_1
Control	53	25	4	d	d	contr_1
Control	53	25	5	d	d	contr_1
Control	53	26	1	d	d	contr_1
Control	53	27	1	d	c	contr_1
Control	53	27	2	c	d	contr_1
Control	53	27	3	c	d	contr_1
Control	53	27	4	d	c	contr_1
Control	53	27	5	d	d	contr_1
Control	53	27	6	d	d	contr_1
Control	54	20	1	d	d	contr_1
Control	54	21	1	d	d	contr_1
Control	54	21	2	d	d	contr_1
Control	54	22	1	d	d	contr_1
Control	54	22	2	d	d	contr_1
Control	54	22	3	d	d	contr_1
Control	54	22	4	d	d	contr_1
Control	54	22	5	d	d	contr_1
Control	54	23	1	d	d	contr_1
Control	54	23	2	d	d	contr_1
Control	54	23	3	d	c	contr_1
Control	54	24	1	d	d	contr_1
Control	54	24	2	d	d	contr_1
Control	54	24	3	d	d	contr_1
Control	54	24	4	d	d	contr_1
Control	54	24	5	d	d	contr_1
Control	54	24	6	d	d	contr_1
Control	54	25	1	d	d	contr_1
Control	54	25	2	d	d	contr_1
Control	54	25	3	d	d	contr_1
Control	54	25	4	d	d	contr_1
Control	54	25	5	d	c	contr_1
Control	54	26	1	d	c	contr_1
Control	54	27	1	d	d	contr_1
Control	54	27	2	d	d	contr_1
Control	54	27	3	d	d	contr_1
Control	54	27	4	d	d	contr_1
Control	54	27	5	d	d	contr_1
Control	54	27	6	d	d	contr_1
Control	55	20	1	d	c	contr_1
Control	55	21	1	d	c	contr_1
Control	55	21	2	c	d	contr_1
Control	55	22	1	d	d	contr_1
Control	55	22	2	d	d	contr_1
Control	55	22	3	d	d	contr_1
Control	55	22	4	d	d	contr_1
Control	55	22	5	d	d	contr_1
Control	55	23	1	d	d	contr_1
Control	55	23	2	d	d	contr_1
Control	55	23	3	c	d	contr_1
Control	55	24	1	d	d	contr_1
Control	55	24	2	d	d	contr_1
Control	55	24	3	d	d	contr_1
Control	55	24	4	d	c	contr_1
Control	55	24	5	c	c	contr_1
Control	55	24	6	c	c	contr_1
Control	55	25	1	d	d	contr_1
Control	55	25	2	d	d	contr_1
Control	55	25	3	d	d	contr_1
Control	55	25	4	d	d	contr_1
Control	55	25	5	d	d	contr_1
Control	55	26	1	d	d	contr_1
Control	55	27	1	d	c	contr_1
Control	55	27	2	c	c	contr_1
Control	55	27	3	c	d	contr_1
Control	55	27	4	d	d	contr_1
Control	55	27	5	d	d	contr_1
Control	55	27	6	d	d	contr_1
Control	56	20	1	d	c	contr_1
Control	56	21	1	d	d	contr_1
Control	56	21	2	d	d	contr_1
Control	56	22	1	d	c	contr_1
Control	56	22	2	c	c	contr_1
Control	56	22	3	c	c	contr_1
Control	56	22	4	c	c	contr_1
Control	56	22	5	d	c	contr_1
Control	56	23	1	d	d	contr_1
Control	56	23	2	d	d	contr_1
Control	56	23	3	d	d	contr_1
Control	56	24	1	d	d	contr_1
Control	56	24	2	d	d	contr_1
Control	56	24	3	d	d	contr_1
Control	56	24	4	d	d	contr_1
Control	56	24	5	d	d	contr_1
Control	56	24	6	d	d	contr_1
Control	56	25	1	c	c	contr_1
Control	56	25	2	c	c	contr_1
Control	56	25	3	c	c	contr_1
Control	56	25	4	d	c	contr_1
Control	56	25	5	d	d	contr_1
Control	56	26	1	c	d	contr_1
Control	56	27	1	c	d	contr_1
Control	56	27	2	c	c	contr_1
Control	56	27	3	d	c	contr_1
Control	56	27	4	d	d	contr_1
Control	56	27	5	d	d	contr_1
Control	56	27	6	d	d	contr_1
Control	57	20	1	d	d	contr_1
Control	57	21	1	d	c	contr_1
Control	57	21	2	d	d	contr_1
Control	57	22	1	d	d	contr_1
Control	57	22	2	d	d	contr_1
Control	57	22	3	d	d	contr_1
Control	57	22	4	c	d	contr_1
Control	57	22	5	d	c	contr_1
Control	57	23	1	d	d	contr_1
Control	57	23	2	d	d	contr_1
Control	57	23	3	d	d	contr_1
Control	57	24	1	c	d	contr_1
Control	57	24	2	d	c	contr_1
Control	57	24	3	c	c	contr_1
Control	57	24	4	c	c	contr_1
Control	57	24	5	c	c	contr_1
Control	57	24	6	c	c	contr_1
Control	57	25	1	c	c	contr_1
Control	57	25	2	c	c	contr_1
Control	57	25	3	c	c	contr_1
Control	57	25	4	c	d	contr_1
Control	57	25	5	d	d	contr_1
Control	57	26	1	c	d	contr_1
Control	57	27	1	d	d	contr_1
Control	57	27	2	d	d	contr_1
Control	57	27	3	d	d	contr_1
Control	57	27	4	d	d	contr_1
Control	57	27	5	d	d	contr_1
Control	57	27	6	d	d	contr_1
Control	58	20	1	d	c	contr_1
Control	58	21	1	d	d	contr_1
Control	58	21	2	c	d	contr_1
Control	58	22	1	c	d	contr_1
Control	58	22	2	c	c	contr_1
Control	58	22	3	c	c	contr_1
Control	58	22	4	c	c	contr_1
Control	58	22	5	c	d	contr_1
Control	58	23	1	d	c	contr_1
Control	58	23	2	d	c	contr_1
Control	58	23	3	c	c	contr_1
Control	58	24	1	d	c	contr_1
Control	58	24	2	d	d	contr_1
Control	58	24	3	d	d	contr_1
Control	58	24	4	d	d	contr_1
Control	58	24	5	d	d	contr_1
Control	58	24	6	d	d	contr_1
Control	58	25	1	c	d	contr_1
Control	58	25	2	d	c	contr_1
Control	58	25	3	d	d	contr_1
Control	58	25	4	d	d	contr_1
Control	58	25	5	c	d	contr_1
Control	58	26	1	d	d	contr_1
Control	58	27	1	c	d	contr_1
Control	58	27	2	c	c	contr_1
Control	58	27	3	c	c	contr_1
Control	58	27	4	c	c	contr_1
Control	58	27	5	c	c	contr_1
Control	58	27	6	c	c	contr_1
Control	59	20	1	d	d	contr_1
Control	59	21	1	d	c	contr_1
Control	59	21	2	d	d	contr_1
Control	59	22	1	d	d	contr_1
Control	59	22	2	d	d	contr_1
Control	59	22	3	d	d	contr_1
Control	59	22	4	d	d	contr_1
Control	59	22	5	d	c	contr_1
Control	59	23	1	d	d	contr_1
Control	59	23	2	c	d	contr_1
Control	59	23	3	c	d	contr_1
Control	59	24	1	d	c	contr_1
Control	59	24	2	c	d	contr_1
